epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39404,1.60664,4.2506,1.23494,0.00283,0.14167,0.00391,0.00145,1.34485,4.12902,1.15451,3.333e-05,3.333e-05,3.333e-05
2,11.3587,1.49103,4.03448,1.19131,0.00405,0.2125,0.05533,0.02565,1.076,3.89997,0.98284,7.62302e-05,7.62302e-05,7.62302e-05
3,15.1216,1.18593,3.49836,1.01843,0.00644,0.40118,0.36358,0.1969,1.02982,3.72305,0.884,0.00011737,0.00011737,0.00011737
4,18.8646,1.20083,2.53356,0.99218,0.00878,0.4284,0.38734,0.2174,1.04257,3.46868,0.89176,0.000156751,0.000156751,0.000156751
5,22.3691,1.21106,2.14054,0.96041,0.01595,0.57571,0.518,0.29196,1.09317,3.30506,0.89382,0.000194372,0.000194372,0.000194372
6,26.0733,1.1658,1.59429,0.97661,1,0.14228,0.56592,0.27956,1.13392,3.01855,0.91045,0.000230233,0.000230233,0.000230233
7,29.7616,1.12191,1.39318,0.9674,1,0.1825,0.58426,0.32522,1.06945,2.79673,0.90506,0.000264334,0.000264334,0.000264334
8,33.3883,1.05144,1.15604,0.94887,1,0.18716,0.58429,0.4022,1.06533,2.78257,0.90402,0.000296675,0.000296675,0.000296675
9,37.0585,1.09986,1.15385,0.95375,0.99726,0.19167,0.58974,0.39589,1.08829,2.7576,0.90377,0.000327256,0.000327256,0.000327256
10,40.6088,1.06877,1.111,0.95807,1,0.19527,0.59389,0.41695,1.04949,2.62676,0.89719,0.000356078,0.000356078,0.000356078
11,44.3496,1.12724,1.05373,0.97534,0.99951,0.20344,0.59459,0.41344,1.04852,2.50284,0.89898,0.000383139,0.000383139,0.000383139
12,48.0183,1.09536,0.96046,1.00242,0.99843,0.31905,0.59693,0.4078,1.06992,2.37075,0.91057,0.000408441,0.000408441,0.000408441
13,51.5752,1.09645,0.98748,0.96331,0.9994,0.39952,0.78408,0.5478,1.07704,2.42019,0.914,0.000431983,0.000431983,0.000431983
14,55.2918,1.08761,0.9336,0.95148,1,0.39837,0.81803,0.57597,1.06122,2.41284,0.91026,0.000453766,0.000453766,0.000453766
15,58.9219,1.00684,0.86747,0.90945,1,0.21674,0.74583,0.51218,1.03885,2.33896,0.91027,0.000473788,0.000473788,0.000473788
16,62.7149,1.03639,0.96538,0.93274,0.99963,0.23002,0.71517,0.48783,1.01737,2.33379,0.90783,0.000492051,0.000492051,0.000492051
17,66.3576,1.09618,0.97891,0.96992,0.9979,0.21029,0.71235,0.47858,1.02096,2.35865,0.91301,0.000508554,0.000508554,0.000508554
18,69.8343,1.03823,0.91269,0.96473,1,0.40082,0.8823,0.61583,1.04946,2.26497,0.92983,0.000523297,0.000523297,0.000523297
19,73.3566,1.09819,0.88365,0.97448,1,0.51767,0.9133,0.6528,1.02763,2.08847,0.92472,0.00053628,0.00053628,0.00053628
20,77.1261,1.15661,0.9002,1.04571,0.99716,0.62234,0.93554,0.66858,1.00895,1.91031,0.91582,0.000547503,0.000547503,0.000547503
21,81.1278,1.02297,0.84723,0.97518,0.99531,0.75043,0.93449,0.64917,1.05403,1.93829,0.92629,0.000556967,0.000556967,0.000556967
22,84.9827,1.08833,0.84851,0.97044,0.99435,0.7737,0.93352,0.6454,1.06,1.95394,0.93349,0.00056467,0.00056467,0.00056467
23,89.4115,1.04327,0.81678,0.93664,0.99396,0.86032,0.93614,0.66021,1.03617,1.84036,0.93899,0.000570614,0.000570614,0.000570614
24,93.29,0.98758,0.76331,0.946,0.99475,0.88779,0.93719,0.66336,1.01883,1.69529,0.93838,0.000574798,0.000574798,0.000574798
25,97.2017,0.99815,0.7633,0.93942,0.9942,0.8599,0.93787,0.66996,1.00692,1.50152,0.93976,0.000577222,0.000577222,0.000577222
26,101.097,1.01106,0.75922,0.97449,0.99394,0.84528,0.93803,0.65594,1.00015,1.38093,0.9431,0.000561055,0.000561055,0.000561055
27,104.971,1.04267,0.76733,0.94373,0.99252,0.87272,0.93817,0.64456,1.00886,1.36639,0.95581,0.000539057,0.000539057,0.000539057
28,108.885,1.02169,0.81874,0.98529,0.9891,0.87966,0.93807,0.65089,1.01753,1.40997,0.96304,0.000517059,0.000517059,0.000517059
29,112.744,1.05744,0.7913,0.95451,0.98334,0.88995,0.93813,0.66376,1.01586,1.39136,0.97043,0.000495062,0.000495062,0.000495062
30,116.491,0.99596,0.82112,0.92529,0.97758,0.93135,0.9422,0.65229,1.03201,1.23622,0.97978,0.000473064,0.000473064,0.000473064
31,120.143,1.01046,0.74391,0.96862,0.97557,0.92985,0.95881,0.65176,1.06664,1.06076,0.98738,0.000451066,0.000451066,0.000451066
32,123.79,0.95981,0.69745,0.91667,0.97587,0.95689,0.96576,0.63945,1.07422,0.93102,0.98532,0.000429068,0.000429068,0.000429068
33,127.527,1.04832,0.72299,0.98512,0.97458,0.96365,0.96583,0.6479,1.05753,0.81989,0.97744,0.00040707,0.00040707,0.00040707
34,131.253,0.97706,0.74728,0.94437,0.97548,0.96155,0.96596,0.6509,1.04295,0.76418,0.97363,0.000385073,0.000385073,0.000385073
35,135.027,0.9916,0.69873,0.96462,0.97601,0.95933,0.96609,0.6595,1.02836,0.74223,0.97242,0.000363075,0.000363075,0.000363075
36,138.63,0.98026,0.70446,0.92097,0.97779,0.95543,0.96607,0.66401,1.02717,0.72659,0.97262,0.000341077,0.000341077,0.000341077
37,142.397,0.99825,0.71602,0.96515,0.9808,0.94821,0.9661,0.66354,1.02157,0.72606,0.97179,0.000319079,0.000319079,0.000319079
38,145.861,0.942,0.73997,0.96214,0.97518,0.92637,0.96212,0.67108,1.0084,0.72689,0.96552,0.000297081,0.000297081,0.000297081
39,149.662,0.95271,0.70498,0.96022,0.97808,0.92315,0.96203,0.67144,1.009,0.72016,0.96306,0.000275084,0.000275084,0.000275084
40,153.455,0.96646,0.68354,0.93909,0.98281,0.92494,0.96208,0.66517,1.01406,0.71351,0.96385,0.000253086,0.000253086,0.000253086
41,173.304,0.95519,0.80386,0.98213,0.98233,0.92686,0.95654,0.6634,1.02339,0.72399,0.96494,0.000231088,0.000231088,0.000231088
42,176.93,0.97912,0.77232,0.95585,0.97868,0.92795,0.93759,0.66145,1.02654,0.74651,0.96434,0.00020909,0.00020909,0.00020909
43,180.53,0.95067,0.78255,0.94953,0.98071,0.9264,0.93745,0.65184,1.02462,0.73711,0.9657,0.000187092,0.000187092,0.000187092
44,184.302,0.89612,0.73462,0.92147,0.97902,0.92765,0.95441,0.65702,1.01276,0.71033,0.96539,0.000165095,0.000165095,0.000165095
45,187.906,0.91444,0.74333,0.91454,0.97335,0.93087,0.95305,0.66448,1.00142,0.676,0.96554,0.000143097,0.000143097,0.000143097
46,191.508,0.94338,0.7389,0.96175,0.96957,0.93145,0.95465,0.66846,0.99745,0.65871,0.96546,0.000121099,0.000121099,0.000121099
47,195.117,0.91111,0.72251,0.94832,0.96354,0.92739,0.95487,0.66749,1.00011,0.6516,0.9666,9.91012e-05,9.91012e-05,9.91012e-05
48,198.594,0.92954,0.72952,0.93864,0.96087,0.92771,0.95288,0.66968,1.00294,0.64831,0.96716,7.71034e-05,7.71034e-05,7.71034e-05
49,202.042,0.90035,0.74012,0.90176,0.9601,0.92782,0.95301,0.67451,1.00668,0.64468,0.96692,5.51056e-05,5.51056e-05,5.51056e-05
50,205.556,0.89632,0.69871,0.96281,0.95984,0.92781,0.95289,0.67378,1.00713,0.64007,0.96577,3.31078e-05,3.31078e-05,3.31078e-05
